account_id,peak_id,account_rating,account_image,account_notes,is_complete,date_complete
1,1,1,,The hike starts out easy dipping down from the parking lot into the wet marshy valley floor,TRUE,6/1/17
2,2,2,,In flower season youêll also enjoy quite a few flowers near the trailhead,TRUE,6/2/17
3,3,3,,On the upslope youêll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,6/3/17
4,4,4,,Peer into the shrubberyãyou may find a hidden columbine or two,TRUE,6/4/17
5,5,5,,Once you pass the shrubs you are above the tree lineÄand this is the most beautiful part of the hike,TRUE,6/5/17
6,6,4,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,6/6/17
7,7,3,,The higher you get the more of the surrounding peaks you can see,TRUE,6/7/17
8,8,2,,Nearing the top the terrain becomes trickier to navigate,TRUE,6/8/17
9,9,1,,The hike starts out easy dipping down from the parking lot into the wet marshy valley floor,TRUE,6/9/17
10,10,2,,In flower season youêll also enjoy quite a few flowers near the trailhead,TRUE,6/10/17
11,11,3,,On the upslope youêll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,6/11/17
12,12,4,,Peer into the shrubberyãyou may find a hidden columbine or two,TRUE,6/12/17
13,13,5,,Once you pass the shrubs you are above the tree lineÄand this is the most beautiful part of the hike,TRUE,6/13/17
14,14,4,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,6/14/17
15,15,3,,The higher you get the more of the surrounding peaks you can see,TRUE,6/15/17
16,16,2,,Nearing the top the terrain becomes trickier to navigate,TRUE,6/16/17
17,17,1,,The hike starts out easy dipping down from the parking lot into the wet marshy valley floor,TRUE,6/17/17
18,18,1,,In flower season youêll also enjoy quite a few flowers near the trailhead,TRUE,6/18/17
19,19,1,,On the upslope youêll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,6/19/17
20,20,2,,Peer into the shrubberyãyou may find a hidden columbine or two,TRUE,6/20/17
21,21,3,,Once you pass the shrubs you are above the tree lineÄand this is the most beautiful part of the hike,TRUE,6/21/17
22,22,4,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,6/22/17
23,23,5,,The higher you get the more of the surrounding peaks you can see,TRUE,6/23/17
24,24,1,,Nearing the top the terrain becomes trickier to navigate,TRUE,6/24/17
25,25,2,,The hike starts out easy dipping down from the parking lot into the wet marshy valley floor,TRUE,6/25/17
26,26,3,,In flower season youêll also enjoy quite a few flowers near the trailhead,TRUE,6/26/17
27,27,4,,On the upslope youêll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,6/27/17
28,28,5,,Peer into the shrubberyãyou may find a hidden columbine or two,TRUE,6/28/17
29,29,4,,Once you pass the shrubs you are above the tree lineÄand this is the most beautiful part of the hike,TRUE,6/29/17
30,30,3,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,6/30/17
31,31,2,,The higher you get the more of the surrounding peaks you can see,TRUE,7/1/17
32,32,1,,Nearing the top the terrain becomes trickier to navigate,TRUE,7/2/17
33,33,2,,The hike starts out easy dipping down from the parking lot into the wet marshy valley floor,TRUE,7/3/17
34,34,3,,In flower season youêll also enjoy quite a few flowers near the trailhead,TRUE,7/4/17
35,35,4,,On the upslope youêll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,7/5/17
36,36,5,,Peer into the shrubberyãyou may find a hidden columbine or two,TRUE,7/6/17
37,37,4,,Once you pass the shrubs you are above the tree lineÄand this is the most beautiful part of the hike,TRUE,7/7/17
38,38,3,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,7/8/17
39,39,2,,The higher you get the more of the surrounding peaks you can see,TRUE,7/9/17
40,40,1,,Nearing the top the terrain becomes trickier to navigate,TRUE,7/10/17
